bill_id,phone_no,first_name,last_name,reward_points,store_id,bill_date
65,387-812-3489,,,45,17,2022-06-10 15:22:11
66,577-492-4667,Aguistin,Whitbread,28,51,2022-09-03 10:07:36
67,345-759-7341,Gilli,Pople,74,70,2022-11-18 06:14:19
68,375-653-7115,Estevan,Cunningham,2,5,2022-02-01 02:01:51
69,269-579-8644,Zed,Condliffe,2,1,2022-09-20 01:41:50
70,838-614-7611,Katharyn,Braybrooks,28,99,2022-05-12 00:50:00
71,625-793-6607,Stanly,MacKaig,62,59,2022-08-13 21:04:27
72,448-651-6567,Viki,Wray,51,88,2022-06-10 02:51:24
73,586-449-2153,Leilah,Currell,42,52,2022-06-30 01:14:55
74,276-475-0361,Jammal,Feyer,50,58,2022-09-11 11:19:39
75,740-431-1920,,,55,33,2022-06-07 00:59:47
76,936-461-9660,,,19,80,2022-04-12 17:50:18
77,684-554-8002,,,5,71,2022-07-12 20:24:04
78,201-499-4860,,,90,10,2022-04-01 23:49:49
79,610-322-8878,Leigha,Dilland,38,57,2022-10-28 08:43:53
80,545-934-7990,,,55,89,2022-03-06 23:11:59
81,754-557-5147,,,10,4,2022-10-24 07:53:39
82,788-151-9209,Nananne,Spensly,100,57,2022-02-05 15:29:17
83,749-954-5205,,,58,43,2022-08-14 04:47:49
84,905-283-1469,Giulietta,Jakobsson,9,79,2022-06-03 01:34:14
85,500-361-6701,Renault,MacNeill,26,59,2022-01-06 22:58:15
86,293-896-4245,,,93,84,2022-01-26 23:00:07
87,997-428-4228,Frederico,Caustick,23,12,2022-02-28 17:53:16
88,354-151-9873,,,15,45,2022-09-05 12:49:05
89,911-965-6238,,,19,27,2022-02-26 09:38:21
90,803-370-3965,,,86,83,2022-06-18 01:29:58
91,545-187-7366,,,83,99,2022-09-18 16:11:02
92,888-928-1526,Cindi,Timlett,96,11,2022-08-21 02:27:09
93,630-671-5766,,,12,85,2022-08-06 14:55:31
94,579-817-8665,,,89,33,2022-11-26 08:14:28
95,997-570-0043,Jermayne,Peppard,92,94,2022-01-18 18:02:09
96,186-477-7865,Rozamond,Helsby,90,80,2022-11-28 19:43:11
97,904-379-1067,,,12,9,2022-02-11 22:30:25
98,136-705-5944,Kathi,Dulanty,15,59,2022-07-02 23:43:44
99,428-309-3577,Ritchie,Dicke,88,82,2022-04-13 04:56:21
100,112-882-5006,,,12,72,2022-11-14 18:41:20
